Date,Open,High,Low,Close,Adj Close,Volume,MAR
2014-08-29,69.330002,69.489998,68.849998,69.400002,66.592133,1393100,MAR
2014-09-02,69.680000,69.690002,68.800003,69.430000,66.620926,1833700,MAR
2014-09-03,69.599998,70.199997,69.440002,70.000000,67.167854,2911500,MAR
2014-09-04,70.440002,70.980003,70.330002,70.519997,67.666817,2832400,MAR
2014-09-05,70.209999,70.830002,70.209999,70.830002,67.964264,2367300,MAR
2014-09-08,70.860001,71.330002,70.650002,71.070000,68.194550,2313100,MAR
2014-09-09,71.000000,71.300003,70.720001,70.779999,67.916298,1571300,MAR
2014-09-10,70.900002,71.040001,70.500000,70.790001,67.925888,1789300,MAR
2014-09-11,70.820000,71.529999,70.510002,71.400002,68.511208,2869100,MAR
2014-09-12,71.139999,71.230003,70.220001,70.620003,67.762764,1640500,MAR
2014-09-15,70.540001,70.910004,70.449997,70.709999,67.849121,1412900,MAR
2014-09-16,70.500000,71.230003,70.330002,71.139999,68.261726,2199600,MAR
2014-09-17,71.279999,72.089996,71.209999,71.730003,68.827866,1476700,MAR
2014-09-18,72.190002,72.470001,71.760002,72.449997,69.518730,1677300,MAR
2014-09-19,72.980003,73.279999,72.040001,72.190002,69.269241,3799000,MAR
2014-09-22,72.320000,72.320000,71.279999,71.610001,68.712708,1961100,MAR
2014-09-23,71.489998,71.800003,70.900002,70.919998,68.050629,1889200,MAR
2014-09-24,70.900002,71.480003,70.779999,71.389999,68.501617,1213800,MAR
2014-09-25,71.370003,71.669998,70.459999,70.519997,67.666817,1508100,MAR
2014-09-26,70.849998,71.070000,70.519997,70.720001,67.858734,3139700,MAR
2014-09-29,70.269997,70.690002,69.970001,70.440002,67.590057,1664600,MAR
2014-09-30,70.230003,70.629997,69.900002,69.900002,67.071892,1989100,MAR
2014-10-01,69.559998,69.580002,67.339996,67.940002,65.191193,4252100,MAR
2014-10-02,67.980003,68.160004,65.480003,66.800003,64.097328,4099800,MAR
2014-10-03,67.160004,68.269997,67.040001,68.099998,65.344727,3763600,MAR
2014-10-06,68.089996,68.389999,67.089996,67.330002,64.605873,2673400,MAR
2014-10-07,66.660004,67.410004,65.980003,66.000000,63.329681,3238200,MAR
2014-10-08,65.870003,66.339996,65.339996,66.169998,63.492805,5241600,MAR
